,Road category,Road organized by,Road type,2012,2013,2014,2015,2016,2017,2018
0,District roads,District roads,Surfaced B.T/C.C,,,,,10634.0,11145.0,11145.0
1,District roads,District roads,Surfaced W.B.M,,,,,0.0,0.0,0.0
2,National highways,National highways,Four Lane & above,756.0,756.0,798.0,798.0,788.0,789.0,829.0
3,National highways,National highways,Less than 2 Lane,1537.0,1600.0,1738.0,1682.0,1081.0,690.0,417.0
4,National highways,National highways,Two Lane,1812.0,1812.0,1931.0,2221.0,2970.0,3360.0,3631.0
5,Project roads,Border roads organization,Surfaced B.T/C.C,,,,,,0.0,
6,Project roads,Border roads organization,Surfaced W.B.M,,,,,,0.0,
7,Project roads,Coal Mine roads,Surfaced B.T/C.C,289.0,289.0,0.0,,,,
8,Project roads,Coal Mine roads,Surfaced W.B.M,0.0,0.0,0.0,,,,
9,Project roads,Electricity Department roads,Surfaced B.T/C.C,360.0,360.0,360.0,360.0,360.0,360.0,360.0
10,Project roads,Electricity Department roads,Surfaced W.B.M,148.0,148.0,148.0,148.0,148.0,148.0,148.0
11,Project roads,Forest Department roads,Surfaced B.T/C.C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Project roads,Forest Department roads,Surfaced W.B.M,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Project roads,Irrigation Department roads,Surfaced B.T/C.C,,,,,,,
14,Project roads,Irrigation Department roads,Surfaced W.B.M,,,,,,,
15,Project roads,SAIL & NMDC roads,Surfaced B.T/C.C,,,,,,,
16,Project roads,SAIL & NMDC roads,Surfaced W.B.M,,,,,,,
17,Project roads,Sugarcane Department roads,Surfaced B.T/C.C,,,,,,,
18,Project roads,Sugarcane Department roads,Surfaced W.B.M,,,,,,,
19,Rural roads,Panchayati Raj roads,Surfaced B.T/C.C,17152.0,42200.0,42200.0,42200.0,42200.0,42200.0,42200.0
20,Rural roads,Panchayati Raj roads,Surfaced W.B.M,5819.0,7240.0,7240.0,7240.0,7240.0,7240.0,7240.0
21,Rural roads,PMGSY roads,Surfaced B.T/C.C,,,29282.0,32914.0,36644.0,43001.0,47835.0
22,Rural roads,PMGSY roads,Surfaced W.B.M,,,1709.0,2440.0,13392.0,834.0,622.0
23,Rural roads,PWD/RWD roads,Surfaced B.T/C.C,,,,,,,33723.0
24,Rural roads,PWD/RWD roads,Surfaced W.B.M,,,,,,,7599.0
25,State highways,State highways,Surfaced B.T/C.C,4857.0,4483.0,4389.0,4426.0,4253.0,4006.0,4006.0
26,State highways,State highways,Surfaced W.B.M,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Urban roads,Engineering Service roads,Surfaced B.T/C.C,216.0,58.0,57.0,57.0,51.0,51.0,27.0
28,Urban roads,Engineering Service roads,Surfaced W.B.M,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Urban roads,Municipal roads,Surfaced B.T/C.C,2375.0,2375.0,2375.0,2375.0,2375.0,2375.0,2375.0
30,Urban roads,Municipal roads,Surfaced W.B.M,1112.0,1112.0,1112.0,1112.0,1112.0,1112.0,1112.0
31,Urban roads,Railway roads,Surfaced B.T/C.C,98.0,99.0,137.0,137.0,146.0,252.0,554.0
32,Urban roads,Railway roads,Surfaced W.B.M,18.0,17.0,18.0,18.0,18.0,11.0,23.0
